"language","aid","item","kb_current_time","tag","pop_type","sticker_id","session_id","channel","package_name"
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543271902","""no""","""sticker""","""1206002""","""kIkaCeReS00038cTWAVYSpbAkHcayFdkamK20181127062731798""","""giphy.com""","""com.whatsapp"""
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543271958","""no""","""sticker""","""7a236f47-a494-4cb2-b8e4-9ddc2ab78ac5""","""sticker6AL6Tvis2KS865SEfjFHRU20181127063824694""","""kikatech.com""","""com.whatsapp"""
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543272071","""ok""","""sticker""","""6343b18e-b145-461c-af0a-1bd319b4ea54""","""stickerBMFkfZCb42Ppbn9bSRrhmi20181127012011888""","""kikatech.com""","""com.whatsapp"""
"en_US","32d8d9782aa1b9a01b7a0ffb9dc539c650b55114","pop_show","1543272156","""so""","""sticker""","""2156682""","""kIkaCeReS0003zzVyTF2LMrGWfaaMTCoywF20181126215947180""","""giphy.com""","""com.whatsapp"""
"en_GB","77e0a00981891e5126e753977f6b30f3adc0b6f8","pop_show","1543281133","""goodnight""","""sticker""","""245074""","""kIkaCeReS0003c3v9kFaADp28fXVcf9eES920181127091210714""","""giphy.com""","""com.facebook.orca"""
"en_GB","fb6ee6f984016c1af8e40f8b19b7544c9dd26dda","pop_show","1543271281","""\uD83D\uDE02""","""sticker""","""49782563-b4c6-4169-9ca3-806fff03f23c""","""kIkaCeReS0003wzwQ6cFGbipfJPC2f7wxER20181126055800281""","""tenor.com""","""com.facebook.orca"""
"en_GB","fb6ee6f984016c1af8e40f8b19b7544c9dd26dda","pop_show","1543278403","""sa""","""magic""","""6c8da8e4-e9e6-4314-b7f0-b46b2c96117c""","""stickerGMcoSiavuztBe5MYEVKuPV20181120203948141""",,"""com.facebook.orca"""
"en_GB","fb6ee6f984016c1af8e40f8b19b7544c9dd26dda","pop_show","1543278437","""ne""","""magic""","""85ea2fdd-aea6-4649-bca8-de4fe927f91b""","""null""",,"""com.facebook.orca"""
"en_GB","fb6ee6f984016c1af8e40f8b19b7544c9dd26dda","pop_show","1543279447","""am""","""magic""","""342f6552-0b73-460c-9647-fe5d93be9127""","""sticker6us8ZyHRdxfPo8955oSC20181119115237420""",,"""com.facebook.orca"""
"en_GB","9dc74bb6ee4e721afac86f0c2ba4496e1578c561","pop_show","1543281160","""what""","""sticker""","""1951109""","""kIkaCeReS00035ayV46sSjX5VRrZQwa35AZ20181126054617662""","""tenor.com""","""com.snapchat.android"""
